partid,cond_order,cond_soepframe,age,sex,yearsofedu,job,income,imc1,imc2,qual_focused,qual_effort,status,device,remembered,similarity,duration
pncs0ht0r2,asp_judg,std,26,male,16,employed,1k_2k,correct,correct,100,100,done,desktop,0,0,220
p7jvn0ukre,asp_judg,std,42,male,12,employed,2k_3k,NA,NA,NA,NA,NA,NA,NA,NA,NA
pjaipfg4ug,asp_judg,std,23,female,13,unemployed,0_1k,NA,NA,NA,NA,NA,NA,NA,NA,NA
p6mq9bhhpb,asp_judg,std,45,male,14,employed,2k_3k,correct,correct,100,100,done,laptop,29,56,3410
pga0e1dm62,asp_judg,std,37,male,26,employed,5k_x,correct,correct,100,100,done,laptop,25,68,548
pu5k586m01,asp_judg,std,34,male,12,selfemployed,2k_3k,correct,correct,76,81,done,desktop,6,78,309
p42e0m765p,asp_judg,std,68,female,14,retired,2k_3k,correct,correct,100,77,done,laptop,4,61,785
pl40upe2b5,asp_judg,std,26,female,19,employed,3k_4k,correct,correct,100,100,done,desktop,6,76,237
pns0bk5bpg,asp_judg,std,45,female,16,employed,2k_3k,correct,correct,100,100,done,laptop,0,45,223
p35a1ai7bf,asp_judg,std,64,male,13,employed,5k_x,correct,correct,100,100,done,laptop,0,100,574
p2qr5d02ht,asp_judg,std,25,male,4,employed,2k_3k,correct,correct,81,82,done,desktop,60,60,113
pcqs85n21b,asp_judg,std,43,male,13,employed,2k_3k,correct,correct,100,100,done,laptop,58,89,797
pf1ok9j6mf,asp_judg,std,58,female,16,employed,2k_3k,correct,correct,100,100,done,laptop,0,94,380
piokq0dfpr,asp_judg,std,50,female,13,employed,1k_2k,correct,correct,92,94,done,desktop,30,67,652
po0b5hvksl,asp_judg,std,33,female,18,employed,3k_4k,correct,correct,100,100,done,laptop,26,72,183
pqp37b82le,asp_judg,std,38,male,12,employed,2k_3k,NA,NA,NA,NA,NA,NA,NA,NA,NA
po2avet7op,asp_judg,std,38,female,15,employed,2k_3k,correct,correct,100,100,done,desktop,18,85,185
pm42618oco,asp_judg,std,27,female,16,selfemployed,5k_x,correct,wrong,100,100,done,laptop,0,36,285
ph81j4b6fb,asp_judg,std,32,male,16,employed,2k_3k,correct,correct,91,82,done,desktop,0,14,467
pbkjfru1lp,asp_judg,std,38,female,16,employed,3k_4k,correct,correct,100,100,done,desktop,0,77,442
pvojep7hrk,asp_judg,std,70,female,12,selfemployed,3k_4k,correct,correct,100,100,done,desktop,17,53,462
pokleml5q2,asp_judg,std,22,female,16,student,2k_3k,correct,correct,81,68,done,laptop,42,73,504
p5f7h569tl,asp_judg,std,45,female,14,employed,0_1k,correct,correct,97,96,done,laptop,40,38,738
p05gc4bgi5,asp_judg,std,30,female,16,employed,5k_x,correct,correct,75,69,done,laptop,17,36,122
papbma6ag3,asp_judg,std,37,female,16,selfemployed,1k_2k,correct,correct,100,84,done,laptop,20,78,304
pvmdov8kus,asp_judg,std,45,male,16,unemployed,0_1k,correct,correct,100,98,done,desktop,9,24,287
pdp9hri52g,asp_judg,std,23,male,13,selfemployed,0_1k,correct,correct,69,73,done,laptop,31,42,171
pn5a9a3qva,asp_judg,std,29,female,18,employed,2k_3k,correct,correct,100,100,done,laptop,0,74,361
piheliu2iq,asp_judg,std,46,female,16,employed,2k_3k,correct,correct,100,99,done,desktop,37,91,249
p2chi38atk,asp_judg,std,33,male,10,employed,0_1k,correct,correct,100,100,done,desktop,0,100,219
ptqlp2k09d,asp_judg,std,39,female,13,employed,2k_3k,correct,correct,100,96,done,mobile,34,80,315
pbai7dfvr0,asp_judg,std,42,male,20,employed,5k_x,correct,correct,100,97,done,desktop,20,55,252
pkiuh7rqvu,asp_judg,std,59,male,15,employed,4k_5k,NA,NA,NA,NA,NA,NA,NA,NA,NA
p99pd2g2hd,asp_judg,std,33,male,16,employed,1k_2k,correct,correct,100,100,done,mobile,0,72,330
p1sq8rc5qo,asp_judg,std,31,male,14,employed,3k_4k,correct,correct,100,55,done,desktop,0,67,166
pf28ih4eu6,asp_judg,std,27,male,14,employed,5k_x,correct,correct,100,100,done,desktop,100,100,368
p420mfq59t,asp_judg,std,24,male,16,employed,2k_3k,correct,correct,95,100,done,desktop,15,29,269
pbo5rcjj99,asp_judg,std,35,female,10,employed,5k_x,correct,correct,69,76,done,laptop,57,59,1105
pjnmqtljgr,asp_judg,std,19,male,13,student,1k_2k,correct,correct,100,100,done,desktop,23,61,131
