partid,rating_s2,n_seeking_s2,n_avoiding_s2,m_risk_s2,s_risk_s2,p_control_s2,p_social_s2,p_situation_s2,med_frequency_s2,p_active_s2,mean_sentiment_s2,n_aspects_s2,m_aspects_s2,s_aspects_s2,remembered,similarity,rating_s1,n_seeking_s1,n_avoiding_s1,m_risk_s1,s_risk_s1,p_control_s1,p_social_s1,p_situation_s1,med_frequency_s1,p_active_s1,mean_sentiment_s1,n_aspects_s1,m_aspects_s1,s_aspects_s1,pred_VUM_s1,pred_VUM_s2,m_similarity_between,m_similarity_within_s1,m_similarity_within_s2,p_overlap_between,p_overlap_within_s1,p_overlap_within_s2,delta_rating,delta_VUM
p76482i33p,2,0,3,-38.333333333333336,-115,0.3333333333333333,0.3333333333333333,0,NA,0,-2,3,-1,-3,14,87,2,0,3,-35,-105,0,0,0,NA,0.3333333333333333,-1.6666666666666667,3,-1,-3,-35.009061028429144,-37.78508912886708,3.4074074074074074,3.444444444444444,3.4444444444444446,0,0,0,0,2.7760281004379337
p764r6onl3,2,0,3,-50,-150,1,0,0.6666666666666666,5,0.5,-1.6666666666666667,3,-1,-3,0,86,1,0,2,-50,-100,0.5,0,0,5,0,-1,2,-1,-2,-50,-50,2.7222222222222223,1.3333333333333333,2.111111111111111,0.5,0,0,1,0
p775e7r08j,0,0,2,-50,-100,0,0,0,NA,1,-2.5,2,-1,-2,0,52,0,0,2,-50,-100,NaN,1,1,NA,NaN,-1.5,2,-1,-2,-50,-50,4.5,4.666666666666667,4.333333333333333,1,0,0,0,0
p7fh2ooref,5,6,3,10.555555555555555,95,0.4444444444444444,0,1,5,1,-1.7777777777777777,9,0.3333333333333333,3,13,85,3,2,8,-18.75,-225,0.75,0.08333333333333333,1,5,1,-1.3333333333333333,12,-0.5,-6,-18.971295078047742,6.296301424230663,2.265432098765432,2.686868686868687,2.5462962962962963,0,0,0,2,25.267596502278405
p7loem1g49,1,0,4,-34,-136,1,0,1,1.5,1,0,4,-1,-4,4,91,1,0,4,-36,-144,0.5,0,0.6666666666666666,2.5,0.6666666666666666,-1,4,-1,-4,-35.75376365017244,-34.17796527966304,3.3541666666666665,3.111111111111111,2.9444444444444446,0,0,0,0,1.5757983705093963
p7ola58i6r,2,0,4,-43.75,-175,1,0.75,0.6666666666666666,4,0.5,0,4,-1,-4,46,95,1,0,4,-49.5,-198,1,0.75,0.75,6,0.5,-0.5,4,-1,-4,-49.4335580573521,-43.83662624836406,2.75,3.1666666666666665,2.888888888888889,0,0,0,1,5.596931808988039
p7s0qv9m0d,7,1,1,-0.5,-1,0.5,0,1,2,1,1,2,0,0,0,49,4,0,2,-14,-28,1,0,0,1.5,1,NaN,2,-1,-2,-14,1.2701800174673927,2.9166666666666665,4,2.3333333333333335,0,0,0,3,15.270180017467393
p7u54fcc4q,2,0,5,-26,-130,0,0.4,0.8,2.5,0,-0.25,5,-1,-5,14,80,4,5,3,10.125,81,0.375,0.25,0.25,3,0.6,-0.42857142857142855,8,0.25,2,11.692042426151833,-27.275694261097318,2.95,3.0714285714285716,3.2333333333333334,0,0,0,2,38.96773668724915
p8178lhu71,1,0,3,-48.666666666666664,-146,1,0,0.6666666666666666,3,0.6666666666666666,-0.6666666666666666,3,-1,-3,4,57,1,0,2,-49,-98,1,1,0,2,1,0,2,-1,-2,-48.93562981754664,-48.65458529542781,3.4444444444444446,3,2.7777777777777777,0,0,0,0,0.28104452211883313
p81792oc4t,2,0,4,-49.5,-198,0,0,0,2.5,0.25,-2,4,-1,-4,0,41,2,0,4,-49.75,-199,1,0,0,2.5,1,-0.25,4,-1,-4,-49.78806981206374,-49.57613962412748,3.3333333333333335,3.5,2.7777777777777777,0,0,0,0,0.21193018793626095
p876nerobm,6,1,2,1.6666666666666667,5,1,0,0,2,1,-1.3333333333333333,3,-0.3333333333333333,-1,14,78,6,2,1,-4.666666666666667,-14,1,0,0,3,1,-1,3,0.3333333333333333,1,-2.9643652665205984,1.595962020682459,2.888888888888889,3.7777777777777777,3.2222222222222223,0,0,0,0,4.560327287203057
p8j43n1q2e,1,0,4,-36.5,-146,0,0.25,0.75,5,0.75,-1,4,-1,-4,16,67,2,0,5,-25.6,-128,0,0,0.6,3,0.6,-1,5,-1,-5,-25.521623017703835,-36.32678925048617,3.1,3.1666666666666665,2.9444444444444446,0,0,0,1,10.805166232782337
p90o1dab0u,2,0,2,-41,-82,NaN,0,1,5,NaN,-1.5,2,-1,-2,25,73,2,0,2,-42.5,-85,NaN,0,0,2,NaN,-1,2,-1,-2,-42.017223631599805,-41.25748072981344,1.5,0.6666666666666666,3,0,0,0,0,0.7597429017863675
p95594cp0p,8,4,0,41.25,165,0.5,0,1,2,0.75,0.25,4,1,4,0,87,9,5,0,26.8,134,0.4,0,0,1,0.6,-0.6,5,1,5,26.82977842351631,40.92351697276689,2.6333333333333333,1.9666666666666668,3.111111111111111,0.25,0,0,1,14.093738549250581
p98vdnfo6t,1,0,1,-38,-38,0,0,0,1,1,-3,1,-1,-1,80,86,1,0,4,-37.25,-149,1,0,0,2,1,-1.25,4,-1,-4,-37.31238204466512,-38,3.3333333333333335,3,NA,0,0,NA,0,0.6876179553348791
paah0tgdb0,2,0,5,-32.8,-164,1,0,1,3,1,-1,5,-1,-5,6,59,3,0,6,-20.166666666666668,-121,1,0,1,2,1,-0.75,6,-1,-6,-19.532847153916844,-33.364504145824924,3.3555555555555556,3.311111111111111,3.1666666666666665,0,0,0,1,13.83165699190808
pae1oh4880,0,0,1,-50,-50,0,0,0,2,0,-3,1,-1,-1,0,92,1,0,4,-44.5,-178,0,0,1,6,0,-1.75,4,-1,-4,-44.62801417094886,-50,4,3.7222222222222223,NA,0,0,NA,1,5.371985829051141
paktl8bjj7,2,0,2,-31,-62,1,0.5,1,1.5,1,-1.5,2,-1,-2,38,64,1,0,2,-50,-100,0,0.5,1,1,1,-0.5,2,-1,-2,-50,-31.06437018245336,2.5,2,2.6666666666666665,0,0,0,1,18.93562981754664
papbma6ag3,2,0,4,-39,-156,0.5,0.25,0.75,2,0.5,-1.75,4,-1,-4,20,78,1,0,2,-42.5,-85,0.5,0.5,1,2.5,0.5,-1.5,2,-1,-2,-42.145963996506524,-38.099266865487486,2.7916666666666665,2.3333333333333335,1.8333333333333333,0,0,0,1,4.046697131019037
