partid,age,sex,rating,n_seeking,n_avoiding,s_aspects,m_aspects,m_risk,s_risk,p_control,p_social,p_situation,med_frequency,p_active,mean_sentiment,min_sentiment,max_sentiment,SMRD,aspect_ind,yearsofedu,job,income,n_aspects,duration
pha3pmd5r1,34,female,5,1,0,1,1,2,2,1,0,0,2,NaN,0,0,0,1,1,20,unemployed,0_1k,1,120
phafivbdml,29,male,7,3,1,2,0.5,22.5,90,0.5,0,0.5,3,0.75,-1,-2,1,-0.5,4,14,employed,2k_3k,4,474
pheqv1o4bi,45,male,7,2,2,0,0,-11.75,-47,1,0,1,1,1,0,-2,2,0.5,4,16,employed,4k_5k,4,516
phf8vg122e,57,female,7,2,1,1,0.3333333333333333,12,36,0.6666666666666666,0,1,4,0.6666666666666666,-0.3333333333333333,-2,1,1,3,12,employed,1k_2k,3,271
phgd1fotld,27,male,1,0,1,-1,-1,-50,-50,NaN,0,0,NA,NaN,-2,-2,-2,-1,1,16,employed,3k_4k,1,147
phnc8t6ol9,28,female,1,0,8,-8,-1,-48,-384,0.25,0,0.75,3,0.75,-0.75,-3,2,-1,8,16,employed,5k_x,8,524
php3113cce,34,male,4,0,5,-5,-1,-19.4,-97,0.2,0.2,0.6,1,0.6,-1.6,-3,-1,-1,5,16,selfemployed,0_1k,5,370
phtukonc17,41,male,7,1,0,1,1,23,23,1,0,0,2,1,-1,-1,-1,1,1,18,employed,3k_4k,1,118
phvr676g54,66,male,1,1,2,-1,-0.3333333333333333,-18.666666666666668,-56,1,0,0,3,0,0.3333333333333333,-1,1,1,3,12,selfemployed,2k_3k,3,408
pi2gguep6a,70,female,0,0,6,-6,-1,-43.333333333333336,-260,0.6666666666666666,0.3333333333333333,0.8333333333333334,3,0.6666666666666666,-1.5,-4,1,-1,6,14,retired,5k_x,6,1078
pi3g5e91tk,29,female,2,0,4,-4,-1,-43.25,-173,0.25,0.25,0.25,6,0.25,-1.5,-2,-1,-1,4,16,unemployed,0_1k,4,291
pieg7b7s35,24,female,6,2,2,0,0,4.25,17,0.25,0,0.5,4,0.25,-1.25,-2,0,0.5,4,17,employed,2k_3k,4,270
piheliu2iq,46,female,7,1,0,1,1,7,7,1,0,0,1,0,0,0,0,1,1,16,employed,1k_2k,1,143
piokq0dfpr,50,female,7,3,1,2,0.5,18.5,74,1,0.5,0.5,4,1,-0.75,-2,0,-1,4,13,employed,1k_2k,4,374
pj0s9l55ia,27,female,2,0,2,-2,-1,-28.5,-57,1,0,0,3,1,1,1,1,-1,2,17,selfemployed,1k_2k,2,185
pjaipfg4ug,23,female,9,4,0,4,1,45.5,182,1,0,0,3,1,-0.75,-2,0,1,4,13,unemployed,0_1k,4,387
pjbuj9okvi,25,female,7,4,0,4,1,22.75,91,0.75,0,0.25,3,1,0.25,-1,2,1,4,17,employed,2k_3k,4,339
pjiokntims,52,female,3,1,9,-8,-0.8,-33.5,-335,0.6,0.1,1,3,1,-0.75,-3,1,0.2,10,18,employed,5k_x,10,579
pjkmi6p483,25,male,7,1,1,0,0,-3,-6,1,0,0.5,2,1,-1.5,-3,0,1,2,16,employed,5k_x,2,368
pjmfaicge9,42,male,0,0,1,-1,-1,-50,-50,1,NaN,NaN,NA,1,0,0,0,-1,1,12,employed,5k_x,1,393
pjnmqtljgr,18,male,9,4,0,4,1,36.25,145,1,0.25,0.25,2.5,1,-1.75,-3,-1,1,4,13,student,1k_2k,4,168
pjqfr36tuv,58,female,6,1,2,-1,-0.3333333333333333,-7,-21,0.6666666666666666,0,0.6666666666666666,3,1,-0.3333333333333333,-2,1,0,3,14,employed,1k_2k,3,394
pk1i57og54,27,male,1,0,3,-3,-1,-37,-111,0.6666666666666666,0,0.5,2.5,1,-1.3333333333333333,-3,0,-1,3,14,employed,2k_3k,3,431
pkgv8c3h3j,35,male,1,0,2,-2,-1,-50,-100,0,0,0,2,0.5,-1.5,-2,-1,-1,2,16,employed,3k_4k,2,158
pkiuh7rqvu,59,male,3,2,3,-1,-0.2,-18.6,-93,0.8,0.8,1,2.5,1,-1,-2,0,-1,5,15,employed,3k_4k,5,475
pkovd8l667,34,female,3,1,1,0,0,-7,-14,0,0,0,2,NaN,-2,-2,-2,-1,2,14,employed,1k_2k,2,253
pkpenn3v42,34,female,2,1,2,-1,-0.3333333333333333,-21.333333333333332,-64,0,0,0.3333333333333333,4,0.6666666666666666,-2,-3,-1,-1,3,16,selfemployed,0_1k,3,232
pkqi59lujp,31,female,8,2,0,2,1,15,30,0,0,0,3,1,-0.5,-2,1,1,2,14,selfemployed,0_1k,2,204
pkqk16c93v,29,female,1,0,2,-2,-1,-48,-96,0,0,1,1,0.5,-2,-3,-1,-1,2,13,employed,1k_2k,2,211
pksurk0hbb,33,male,2,0,2,-2,-1,-44,-88,0.5,0,0,3,0.5,-1,-2,0,-1,2,14,employed,1k_2k,2,443
pl1gu9l8m3,27,female,1,0,3,-3,-1,-42,-126,NaN,0,0,1,0.3333333333333333,-1,-2,0,-1,3,14,employed,2k_3k,3,339
pl1jjs135f,22,male,8,2,0,2,1,37.5,75,NaN,0,1,5.5,0,-1,-1,-1,1,2,16,employed,0_1k,2,649
pl40upe2b5,25,female,7,3,0,3,1,28.666666666666668,86,NaN,0,0,3,1,1,0,2,1,3,16,employed,2k_3k,3,192
plgsronuv4,22,male,2,0,3,-3,-1,-46.666666666666664,-140,0.6666666666666666,0.3333333333333333,0.6666666666666666,3,0.3333333333333333,-0.3333333333333333,-1,1,-1,3,12,employed,1k_2k,3,380
plm290dpup,36,female,6,4,0,4,1,28,112,0.75,0.5,1,4,1,-0.25,-1,0,1,4,19,employed,3k_4k,4,242
pm42618oco,27,female,4,0,5,-5,-1,-41.6,-208,0,0,0.6,3,0.6,-1.6,-3,-1,-1,5,16,selfemployed,0_1k,5,224
pm4s2hpf4p,25,male,2,0,5,-5,-1,-40.6,-203,0.4,0,0.2,2,1,-2.2,-3,-1,-1,5,14,employed,0_1k,5,497
pm704fj6e7,25,male,1,0,2,-2,-1,-47.5,-95,1,0.5,1,1.5,0.5,-2,-2,-2,-1,2,18,employed,1k_2k,2,426
pmaoctfpvq,25,male,7,4,0,4,1,22.5,90,1,0,1,3,0.5,0,0,0,1,4,20,employed,4k_5k,4,285
pmchgjmkej,39,male,6,0,1,-1,-1,-8,-8,1,0,1,2,1,0,0,0,-1,1,16,employed,2k_3k,1,161
pmjahfv0dm,25,male,8,4,0,4,1,31.75,127,0.75,0.3333333333333333,1,3.5,1,-1,-1,-1,1,4,16,selfemployed,0_1k,4,302
pmvrhv1aph,62,female,0,0,2,-2,-1,-50,-100,0,0,0,1,0,-1,-1,-1,-1,2,16,employed,1k_2k,2,303
pn1lf5g7qc,47,male,8,4,0,4,1,30,120,0.25,0,0.75,4.5,1,-1.6666666666666667,-2,-1,1,4,29,unemployed,0_1k,4,538
pn73cj70pg,63,male,1,0,3,-3,-1,-43,-129,1,0,0,2,0,-2.3333333333333335,-4,0,-1,3,16,retired,2k_3k,3,536
pn9dto7d9f,30,male,6,1,1,0,0,-13.5,-27,1,0.5,0.5,1.5,1,-2,-2,-2,-1,2,20,employed,4k_5k,2,311
pncjb3oc9h,24,male,5,1,0,1,1,5,5,NaN,0,0,NA,NaN,0,0,0,1,1,13,employed,0_1k,1,252
